#temp, E/N mean, E/N stdev
0.5, -0.961888, 1.44407e-06
1, -0.761771, 3.90309e-07
1.5, -0.582962, 3.45686e-07
2, -0.462073, 3.85039e-07
2.5, -0.37978, 3.18131e-07
3, -0.321635, 4.55599e-07
3.5, -0.278113, 2.11746e-07
4, -0.244821, 1.44173e-07
4.5, -0.21879, 2.93741e-07
5, -0.197555, 2.32403e-07
