#temp, E/N mean, E/N stdev
0.5, -0.97198, 6.43274e-05
1, -0.761643, 1.60943e-05
1.5, -0.582647, 8.41811e-06
2, -0.461771, 6.72732e-06
2.5, -0.38138, 4.54675e-06
3, -0.321937, 2.03826e-06
3.5, -0.277928, 6.67659e-06
4, -0.244739, 1.02226e-06
4.5, -0.218225, 3.42057e-06
5, -0.197028, 3.14391e-06
