#temp, E/N mean, E/N stdev
0.5, -0.99428, 1.72034e-05
1, -0.80404, 5.43362e-05
1.5, -0.58892, 2.37065e-05
2, -0.46288, 4.17358e-05
2.5, -0.380667, 4.42987e-05
3, -0.320973, 3.2146e-05
3.5, -0.277627, 2.13148e-05
4, -0.24492, 3.1646e-05
4.5, -0.21596, 3.60997e-05
5, -0.195573, 3.80437e-05
