#t, E mean, E/N mean, M mean, M/N mean, M2 mean, M2/N mean
0, -484.58, -0.48458, 1.92, 0.00192, 3467.12, 3.46712
1, -628.18, -0.62818, 4.48, 0.00448, 4186.16, 4.18616
2, -696.98, -0.69698, 3.6, 0.0036, 5984.88, 5.98488
3, -743.82, -0.74382, 1.8, 0.0018, 7523.2, 7.5232
4, -773.42, -0.77342, -5.44, -0.00544, 9536.16, 9.53616
5, -794.7, -0.7947, -3.54, -0.00354, 10431.9, 10.4319
6, -810.78, -0.81078, -5.5, -0.0055, 10038.5, 10.0385
7, -824.38, -0.82438, -9.44, -0.00944, 10613.4, 10.6134
8, -834.98, -0.83498, -9.24, -0.00924, 11790.5, 11.7905
9, -844.02, -0.84402, -10.98, -0.01098, 12123.5, 12.1235
10, -852.58, -0.85258, -9.26, -0.00926, 11578.1, 11.5781
11, -859.1, -0.8591, -8.04, -0.00804, 12064.3, 12.0643
12, -863.9, -0.8639, -9.18, -0.00918, 13233.3, 13.2333
13, -868.9, -0.8689, -10.84, -0.01084, 12890.7, 12.8907
14, -873.58, -0.87358, -9.56, -0.00956, 12390.6, 12.3906
15, -877.9, -0.8779, -6.44, -0.00644, 13023, 13.023
16, -880.5, -0.8805, -2.76, -0.00276, 13502.4, 13.5024
17, -883.1, -0.8831, -2.98, -0.00298, 13613.6, 13.6136
18, -886.38, -0.88638, -3.18, -0.00318, 14066.6, 14.0666
19, -889.78, -0.88978, -2.9, -0.0029, 14727.3, 14.7273
20, -893.22, -0.89322, -2.3, -0.0023, 15344.5, 15.3445
21, -896.02, -0.89602, 2.84, 0.00284, 16241.4, 16.2414
22, -898.26, -0.89826, 4.06, 0.00406, 16054.1, 16.0541
23, -901.02, -0.90102, 3.9, 0.0039, 15519.3, 15.5193
24, -902.98, -0.90298, 6.74, 0.00674, 15319.4, 15.3194
25, -904.38, -0.90438, 8.86, 0.00886, 15438.2, 15.4382
26, -906.42, -0.90642, 9.3, 0.0093, 15212.2, 15.2122
27, -908.26, -0.90826, 10.5, 0.0105, 15613.2, 15.6132
28, -909.74, -0.90974, 9.32, 0.00932, 16895.9, 16.8959
29, -911.18, -0.91118, 12.3, 0.0123, 16981.6, 16.9816
30, -911.9, -0.9119, 9.66, 0.00966, 16658.8, 16.6588
31, -913.18, -0.91318, 14.92, 0.01492, 16249, 16.249
