#t, E mean, E/N mean, M mean, M/N mean, M2 mean, M2/N mean
32, -914.22, -0.91422, 13.84, 0.01384, 16689.6, 16.6896
33, -915.66, -0.91566, 14.84, 0.01484, 16195, 16.195
34, -916.78, -0.91678, 16.9, 0.0169, 16556.1, 16.5561
35, -917.78, -0.91778, 17.64, 0.01764, 16734.7, 16.7347
36, -919.18, -0.91918, 20.26, 0.02026, 17455.6, 17.4556
37, -919.62, -0.91962, 21.34, 0.02134, 16961.9, 16.9619
38, -920.82, -0.92082, 22.24, 0.02224, 16552.2, 16.5522
39, -921.54, -0.92154, 23.56, 0.02356, 16514.6, 16.5146
40, -922.5, -0.9225, 23.78, 0.02378, 16702.8, 16.7028
41, -923.46, -0.92346, 24.88, 0.02488, 16529.3, 16.5293
42, -923.54, -0.92354, 25.62, 0.02562, 16353.8, 16.3538
43, -924.26, -0.92426, 27.08, 0.02708, 16263.9, 16.2639
44, -924.98, -0.92498, 27.96, 0.02796, 15750.8, 15.7508
45, -925.58, -0.92558, 26.96, 0.02696, 15829, 15.829
46, -926.54, -0.92654, 28.22, 0.02822, 15930.9, 15.9309
47, -926.9, -0.9269, 27.5, 0.0275, 16356.3, 16.3563
48, -927.7, -0.9277, 29.08, 0.02908, 17063, 17.063
49, -928.18, -0.92818, 28.74, 0.02874, 16590.3, 16.5903
50, -928.54, -0.92854, 30.48, 0.03048, 17739.4, 17.7394
51, -928.98, -0.92898, 30.64, 0.03064, 18299.7, 18.2997
52, -929.9, -0.9299, 30.34, 0.03034, 18106.2, 18.1062
53, -930.74, -0.93074, 29.38, 0.02938, 18520.6, 18.5206
54, -931.18, -0.93118, 25.92, 0.02592, 18352.4, 18.3524
55, -931.82, -0.93182, 25.52, 0.02552, 19309.4, 19.3094
56, -932.5, -0.9325, 27.56, 0.02756, 19940.7, 19.9407
57, -932.3, -0.9323, 27.32, 0.02732, 19833.7, 19.8337
58, -932.94, -0.93294, 28.36, 0.02836, 20280.7, 20.2807
59, -933.7, -0.9337, 27.12, 0.02712, 20383.7, 20.3837
60, -933.78, -0.93378, 27.84, 0.02784, 21271, 21.271
61, -934.58, -0.93458, 29.02, 0.02902, 22026.7, 22.0267
62, -934.9, -0.9349, 28.42, 0.02842, 22302.3, 22.3023
63, -935.3, -0.9353, 27.4, 0.0274, 22592.9, 22.5929
64, -936.1, -0.9361, 28.7, 0.0287, 22012.9, 22.0129
65, -936.54, -0.93654, 26.12, 0.02612, 21810, 21.81
66, -937.22, -0.93722, 28.08, 0.02808, 22626.6, 22.6266
67, -937.22, -0.93722, 26.02, 0.02602, 22528.8, 22.5288
68, -937.34, -0.93734, 26.04, 0.02604, 22414.8, 22.4148
69, -937.54, -0.93754, 27.86, 0.02786, 22528.2, 22.5282
70, -937.58, -0.93758, 25.92, 0.02592, 22949.4, 22.9494
71, -937.66, -0.93766, 27.3, 0.0273, 24061.6, 24.0616
72, -938.02, -0.93802, 25.7, 0.0257, 23898.6, 23.8986
73, -938.18, -0.93818, 24.92, 0.02492, 23703.5, 23.7035
74, -938.62, -0.93862, 27.28, 0.02728, 23381.5, 23.3815
75, -938.78, -0.93878, 25.64, 0.02564, 23135.1, 23.1351
76, -938.98, -0.93898, 25.72, 0.02572, 23048.8, 23.0488
77, -939.3, -0.9393, 27.42, 0.02742, 24460.3, 24.4603
78, -939.58, -0.93958, 27.92, 0.02792, 24642.2, 24.6422
79, -939.62, -0.93962, 29.98, 0.02998, 25157.1, 25.1571
80, -940.42, -0.94042, 32.5, 0.0325, 25114.4, 25.1144
81, -941.02, -0.94102, 30.24, 0.03024, 25065.9, 25.0659
82, -940.58, -0.94058, 30.68, 0.03068, 25396.1, 25.3961
83, -940.82, -0.94082, 31.7, 0.0317, 26214.5, 26.2145
84, -941.18, -0.94118, 33.62, 0.03362, 25748.9, 25.7489
85, -941.42, -0.94142, 33.88, 0.03388, 25887, 25.887
86, -942.34, -0.94234, 31.34, 0.03134, 26400.2, 26.4002
87, -942.78, -0.94278, 29.54, 0.02954, 25962.8, 25.9628
88, -943.14, -0.94314, 31.08, 0.03108, 26999.1, 26.9991
89, -943.3, -0.9433, 32.62, 0.03262, 27018.1, 27.0181
90, -943.82, -0.94382, 32.62, 0.03262, 27100.2, 27.1002
91, -943.42, -0.94342, 32.24, 0.03224, 27599, 27.599
92, -943.58, -0.94358, 33, 0.033, 27251.1, 27.2511
93, -943.7, -0.9437, 34.62, 0.03462, 27065.1, 27.0651
94, -944.1, -0.9441, 35.36, 0.03536, 27658.8, 27.6588
95, -944.7, -0.9447, 34.58, 0.03458, 28340.8, 28.3408
96, -944.42, -0.94442, 34.36, 0.03436, 28438.3, 28.4383
97, -945.02, -0.94502, 33.54, 0.03354, 28418.5, 28.4185
98, -945.46, -0.94546, 33.52, 0.03352, 28480.6, 28.4806
99, -945.34, -0.94534, 32.34, 0.03234, 28986.8, 28.9868
100, -945.5, -0.9455, 32.92, 0.03292, 29171, 29.171
101, -946.5, -0.9465, 30.82, 0.03082, 29536.4, 29.5364
102, -947.1, -0.9471, 29.66, 0.02966, 29935, 29.935
103, -946.94, -0.94694, 26.66, 0.02666, 30030.3, 30.0303
104, -947.02, -0.94702, 25.94, 0.02594, 28865.1, 28.8651
105, -947.02, -0.94702, 24.34, 0.02434, 28560.7, 28.5607
106, -947.7, -0.9477, 22.9, 0.0229, 28013.2, 28.0132
107, -947.34, -0.94734, 23.64, 0.02364, 29022.6, 29.0226
108, -947.66, -0.94766, 24.24, 0.02424, 29111, 29.111
109, -947.5, -0.9475, 25.78, 0.02578, 29044.3, 29.0443
110, -947.74, -0.94774, 27.76, 0.02776, 29542, 29.542
111, -947.58, -0.94758, 28.84, 0.02884, 29804.2, 29.8042
112, -947.82, -0.94782, 29.52, 0.02952, 29270.2, 29.2702
113, -947.74, -0.94774, 28.02, 0.02802, 29395.2, 29.3952
114, -947.78, -0.94778, 26.94, 0.02694, 29843.4, 29.8434
115, -947.9, -0.9479, 25.06, 0.02506, 29252.4, 29.2524
116, -948.1, -0.9481, 23.24, 0.02324, 28353.2, 28.3532
117, -948.02, -0.94802, 23.4, 0.0234, 28461.7, 28.4617
118, -948.26, -0.94826, 19.72, 0.01972, 28563.6, 28.5636
119, -948.18, -0.94818, 19.1, 0.0191, 27971.6, 27.9716
120, -948.3, -0.9483, 18.6, 0.0186, 27596.1, 27.5961
121, -948.18, -0.94818, 17.42, 0.01742, 27683.4, 27.6834
122, -948.38, -0.94838, 16.32, 0.01632, 27677.5, 27.6775
123, -948.94, -0.94894, 16.3, 0.0163, 28470, 28.47
124, -948.78, -0.94878, 18.16, 0.01816, 28693.8, 28.6938
125, -949.34, -0.94934, 18.48, 0.01848, 29460.6, 29.4606
126, -949.26, -0.94926, 18.04, 0.01804, 29329, 29.329
127, -948.9, -0.9489, 20.24, 0.02024, 29267.3, 29.2673
128, -949.06, -0.94906, 22.62, 0.02262, 29147.3, 29.1473
129, -949.5, -0.9495, 23.16, 0.02316, 30405.4, 30.4054
130, -949.74, -0.94974, 24.42, 0.02442, 30635.6, 30.6356
131, -949.98, -0.94998, 23.18, 0.02318, 31008.1, 31.0081
132, -950.26, -0.95026, 22.04, 0.02204, 31069.5, 31.0695
133, -950.06, -0.95006, 22.28, 0.02228, 31089, 31.089
134, -950.14, -0.95014, 23.04, 0.02304, 31058.2, 31.0582
135, -950.3, -0.9503, 21.4, 0.0214, 31294.7, 31.2947
136, -950.62, -0.95062, 20.48, 0.02048, 31924.2, 31.9242
137, -950.62, -0.95062, 23.06, 0.02306, 32323.6, 32.3236
138, -950.5, -0.9505, 23.46, 0.02346, 32360.4, 32.3604
139, -950.62, -0.95062, 23.58, 0.02358, 33063.6, 33.0636
140, -950.5, -0.9505, 26.86, 0.02686, 32493, 32.493
141, -950.94, -0.95094, 28.06, 0.02806, 33135.6, 33.1356
142, -951.18, -0.95118, 29.2, 0.0292, 33370, 33.37
143, -951.1, -0.9511, 27.3, 0.0273, 33455.6, 33.4556
144, -950.86, -0.95086, 28.44, 0.02844, 34247.7, 34.2477
145, -950.98, -0.95098, 27.58, 0.02758, 34651.1, 34.6511
146, -951.02, -0.95102, 28.2, 0.0282, 34347.3, 34.3473
147, -951.18, -0.95118, 27.6, 0.0276, 33834.4, 33.8344
148, -951.5, -0.9515, 28.34, 0.02834, 35096, 35.096
149, -951.58, -0.95158, 27.34, 0.02734, 35841.7, 35.8417
150, -952.14, -0.95214, 28.82, 0.02882, 35727.2, 35.7272
151, -951.98, -0.95198, 27.72, 0.02772, 35292.9, 35.2929
152, -952.14, -0.95214, 27.22, 0.02722, 34697.6, 34.6976
153, -952.18, -0.95218, 26.78, 0.02678, 34967.7, 34.9677
154, -952.02, -0.95202, 25.08, 0.02508, 34936.2, 34.9362
155, -952.5, -0.9525, 24.16, 0.02416, 35353, 35.353
156, -952.74, -0.95274, 22.94, 0.02294, 35287.1, 35.2871
157, -952.82, -0.95282, 21.18, 0.02118, 35732, 35.732
158, -953.38, -0.95338, 19.34, 0.01934, 36254.9, 36.2549
159, -953.06, -0.95306, 19.34, 0.01934, 36869.4, 36.8694
160, -953.26, -0.95326, 17.4, 0.0174, 36793.6, 36.7936
161, -953.82, -0.95382, 16.88, 0.01688, 37135.8, 37.1358
162, -953.86, -0.95386, 16.64, 0.01664, 37994.4, 37.9944
163, -953.58, -0.95358, 17.96, 0.01796, 37615.4, 37.6154
164, -953.22, -0.95322, 17.84, 0.01784, 37489.3, 37.4893
165, -953.34, -0.95334, 19.42, 0.01942, 37520.4, 37.5204
166, -953.58, -0.95358, 20.12, 0.02012, 37767.9, 37.7679
167, -953.3, -0.9533, 18.72, 0.01872, 37967.8, 37.9678
168, -953.42, -0.95342, 21.64, 0.02164, 37876.6, 37.8766
169, -952.86, -0.95286, 24.44, 0.02444, 37760.6, 37.7606
170, -953.42, -0.95342, 25.4, 0.0254, 37043.6, 37.0436
171, -953.42, -0.95342, 27.16, 0.02716, 37741.8, 37.7418
172, -953.98, -0.95398, 25.86, 0.02586, 37556.6, 37.5566
173, -953.42, -0.95342, 26, 0.026, 38106.2, 38.1062
174, -953.86, -0.95386, 28.04, 0.02804, 38633.9, 38.6339
175, -953.94, -0.95394, 28.22, 0.02822, 38587.1, 38.5871
176, -953.94, -0.95394, 28.68, 0.02868, 38175.7, 38.1757
177, -953.62, -0.95362, 28.5, 0.0285, 38218.6, 38.2186
178, -953.94, -0.95394, 28.5, 0.0285, 38393.2, 38.3932
179, -954.1, -0.9541, 29.06, 0.02906, 38338, 38.338
180, -954.5, -0.9545, 26.68, 0.02668, 37907.2, 37.9072
181, -954.5, -0.9545, 25.46, 0.02546, 38315.3, 38.3153
182, -954.18, -0.95418, 26.9, 0.0269, 37846.4, 37.8464
183, -954.22, -0.95422, 26.92, 0.02692, 38771.9, 38.7719
184, -954.7, -0.9547, 29.6, 0.0296, 39578.6, 39.5786
185, -954.94, -0.95494, 29.72, 0.02972, 39498.1, 39.4981
186, -954.78, -0.95478, 30.72, 0.03072, 39226.2, 39.2262
187, -954.58, -0.95458, 27.54, 0.02754, 39214, 39.214
188, -954.7, -0.9547, 27.5, 0.0275, 38284.4, 38.2844
189, -955.18, -0.95518, 26.1, 0.0261, 38392.5, 38.3925
190, -955.82, -0.95582, 25.94, 0.02594, 38295.1, 38.2951
191, -955.58, -0.95558, 27.44, 0.02744, 38818.1, 38.8181
192, -955.34, -0.95534, 27.56, 0.02756, 38486.2, 38.4862
193, -955.58, -0.95558, 30.18, 0.03018, 38921, 38.921
194, -955.34, -0.95534, 30.6, 0.0306, 39131.9, 39.1319
195, -955.54, -0.95554, 32.22, 0.03222, 39595.6, 39.5956
196, -955.66, -0.95566, 32.16, 0.03216, 40475.7, 40.4757
197, -955.86, -0.95586, 33.52, 0.03352, 41324, 41.324
198, -955.62, -0.95562, 32.52, 0.03252, 40639.9, 40.6399
199, -955.58, -0.95558, 34.4, 0.0344, 40750.6, 40.7506
200, -955.7, -0.9557, 32.14, 0.03214, 40375.9, 40.3759
201, -955.5, -0.9555, 33.14, 0.03314, 41346.4, 41.3464
202, -955.42, -0.95542, 31.76, 0.03176, 42049.4, 42.0494
203, -955.1, -0.9551, 33.78, 0.03378, 41884.8, 41.8848
204, -955.3, -0.9553, 33.18, 0.03318, 42729.7, 42.7297
205, -955.62, -0.95562, 33.5, 0.0335, 43141.3, 43.1413
206, -955.62, -0.95562, 35.28, 0.03528, 44653.7, 44.6537
207, -955.94, -0.95594, 33.96, 0.03396, 44335.8, 44.3358
208, -956.34, -0.95634, 34.48, 0.03448, 44971.1, 44.9711
209, -955.78, -0.95578, 33.92, 0.03392, 44564, 44.564
210, -955.26, -0.95526, 33.66, 0.03366, 44039.6, 44.0396
211, -955.46, -0.95546, 33.58, 0.03358, 44101.2, 44.1012
212, -955.82, -0.95582, 31.92, 0.03192, 44646.9, 44.6469
213, -956.06, -0.95606, 31.04, 0.03104, 43818.2, 43.8182
214, -955.78, -0.95578, 32.3, 0.0323, 44652.7, 44.6527
215, -955.82, -0.95582, 31.42, 0.03142, 44573, 44.573
216, -956.26, -0.95626, 33.5, 0.0335, 44330.9, 44.3309
217, -956.46, -0.95646, 34.24, 0.03424, 44757.7, 44.7577
218, -956.46, -0.95646, 34.36, 0.03436, 44753.6, 44.7536
219, -955.86, -0.95586, 33.3, 0.0333, 45296.6, 45.2966
220, -955.7, -0.9557, 32.66, 0.03266, 44867.6, 44.8676
221, -956.46, -0.95646, 34.96, 0.03496, 44330.5, 44.3305
222, -956.82, -0.95682, 33.66, 0.03366, 44554.9, 44.5549
223, -956.34, -0.95634, 35.44, 0.03544, 44168.1, 44.1681
224, -956.62, -0.95662, 36.18, 0.03618, 44052.4, 44.0524
225, -956.7, -0.9567, 36.34, 0.03634, 43367.1, 43.3671
226, -956.54, -0.95654, 36.84, 0.03684, 43206.2, 43.2062
227, -956.34, -0.95634, 38.88, 0.03888, 44115.2, 44.1152
228, -956.26, -0.95626, 39.26, 0.03926, 44386.3, 44.3863
229, -957.18, -0.95718, 37.76, 0.03776, 44685, 44.685
230, -957.1, -0.9571, 38.4, 0.0384, 44321.8, 44.3218
231, -957.46, -0.95746, 38.38, 0.03838, 43870.4, 43.8704
232, -957.38, -0.95738, 39.12, 0.03912, 44563.9, 44.5639
233, -957.7, -0.9577, 39.42, 0.03942, 44174.8, 44.1748
234, -957.46, -0.95746, 40.16, 0.04016, 44984.8, 44.9848
235, -957.62, -0.95762, 39.46, 0.03946, 44774.8, 44.7748
236, -957.62, -0.95762, 38.46, 0.03846, 44691.1, 44.6911
237, -957.7, -0.9577, 37.12, 0.03712, 45493.7, 45.4937
238, -957.58, -0.95758, 38.62, 0.03862, 45707.6, 45.7076
239, -957.38, -0.95738, 38.08, 0.03808, 46281.7, 46.2817
240, -957.38, -0.95738, 39.4, 0.0394, 46367.8, 46.3678
241, -957.22, -0.95722, 39.48, 0.03948, 46585, 46.585
242, -957.18, -0.95718, 40.46, 0.04046, 46287.3, 46.2873
243, -957.66, -0.95766, 41.7, 0.0417, 46915.9, 46.9159
244, -957.74, -0.95774, 42.44, 0.04244, 47335, 47.335
245, -957.74, -0.95774, 44.2, 0.0442, 46560.3, 46.5603
246, -957.58, -0.95758, 44.72, 0.04472, 47224.9, 47.2249
247, -957.5, -0.9575, 42.98, 0.04298, 46598, 46.598
248, -958.02, -0.95802, 41.68, 0.04168, 46554.9, 46.5549
249, -958.3, -0.9583, 39.64, 0.03964, 46245.4, 46.2454
250, -958.1, -0.9581, 39.2, 0.0392, 45560.2, 45.5602
251, -957.86, -0.95786, 40.56, 0.04056, 45136.4, 45.1364
252, -957.7, -0.9577, 41.82, 0.04182, 45395.2, 45.3952
253, -957.94, -0.95794, 42.94, 0.04294, 45930.2, 45.9302
254, -957.82, -0.95782, 42.78, 0.04278, 45229.1, 45.2291
255, -957.94, -0.95794, 41.8, 0.0418, 45000.9, 45.0009
256, -958.34, -0.95834, 40.06, 0.04006, 44577.9, 44.5779
257, -957.94, -0.95794, 40.22, 0.04022, 44840.8, 44.8408
258, -957.82, -0.95782, 37.12, 0.03712, 44835.8, 44.8358
259, -958.14, -0.95814, 36, 0.036, 44933.8, 44.9338
260, -957.9, -0.9579, 35.54, 0.03554, 45692.4, 45.6924
261, -958.34, -0.95834, 37.24, 0.03724, 45742.7, 45.7427
262, -958.02, -0.95802, 36.5, 0.0365, 46059.2, 46.0592
263, -957.78, -0.95778, 37.16, 0.03716, 46812.5, 46.8125
264, -957.94, -0.95794, 38.5, 0.0385, 46701.9, 46.7019
265, -958.38, -0.95838, 37.48, 0.03748, 46274.2, 46.2742
266, -958.3, -0.9583, 39.22, 0.03922, 46957, 46.957
267, -958.18, -0.95818, 39.76, 0.03976, 47208.5, 47.2085
268, -958.82, -0.95882, 39.06, 0.03906, 47986.8, 47.9868
269, -959.02, -0.95902, 39, 0.039, 47994.6, 47.9946
270, -959.1, -0.9591, 38.58, 0.03858, 47966.2, 47.9662
271, -959.38, -0.95938, 37.08, 0.03708, 47171.7, 47.1717
272, -959.58, -0.95958, 34.24, 0.03424, 45914.2, 45.9142
273, -959.26, -0.95926, 33.34, 0.03334, 44867.8, 44.8678
274, -959.22, -0.95922, 31.52, 0.03152, 44935.9, 44.9359
275, -959.02, -0.95902, 30.98, 0.03098, 44898, 44.898
276, -959.18, -0.95918, 32.02, 0.03202, 45556.6, 45.5566
277, -959.1, -0.9591, 32.54, 0.03254, 44726.5, 44.7265
278, -958.94, -0.95894, 32.66, 0.03266, 44829, 44.829
279, -958.7, -0.9587, 30.26, 0.03026, 43727.1, 43.7271
280, -958.58, -0.95858, 29.58, 0.02958, 43487.1, 43.4871
281, -958.7, -0.9587, 30.4, 0.0304, 43466.5, 43.4665
282, -958.86, -0.95886, 28.16, 0.02816, 43555.4, 43.5554
283, -959.22, -0.95922, 27.38, 0.02738, 43004.4, 43.0044
284, -959.58, -0.95958, 28.06, 0.02806, 43495.6, 43.4956
285, -959.66, -0.95966, 28.52, 0.02852, 43540.9, 43.5409
286, -959.58, -0.95958, 29.1, 0.0291, 44098.4, 44.0984
287, -959.38, -0.95938, 31.42, 0.03142, 43279.1, 43.2791
288, -959.06, -0.95906, 31.56, 0.03156, 43367.2, 43.3672
289, -959.06, -0.95906, 32.42, 0.03242, 43644.5, 43.6445
290, -959.26, -0.95926, 29.78, 0.02978, 42918.3, 42.9183
291, -959.5, -0.9595, 27.88, 0.02788, 42513.1, 42.5131
292, -959.38, -0.95938, 29.48, 0.02948, 42100, 42.1
293, -959.54, -0.95954, 28.06, 0.02806, 42365.8, 42.3658
294, -959.7, -0.9597, 29.9, 0.0299, 42622.5, 42.6225
295, -959.58, -0.95958, 30.22, 0.03022, 42525.5, 42.5255
296, -959.46, -0.95946, 27.44, 0.02744, 41740.3, 41.7403
297, -959.46, -0.95946, 29.22, 0.02922, 42163, 42.163
298, -959.58, -0.95958, 28.76, 0.02876, 42765.8, 42.7658
299, -959.7, -0.9597, 31.56, 0.03156, 42357.1, 42.3571
300, -959.82, -0.95982, 29.28, 0.02928, 42736.7, 42.7367
301, -959.58, -0.95958, 29.34, 0.02934, 43060.8, 43.0608
302, -959.34, -0.95934, 28.2, 0.0282, 43192.7, 43.1927
303, -959.54, -0.95954, 28.7, 0.0287, 43357.7, 43.3577
304, -959.34, -0.95934, 30.78, 0.03078, 43143.6, 43.1436
305, -959.34, -0.95934, 30.66, 0.03066, 43110.4, 43.1104
306, -959.66, -0.95966, 31.68, 0.03168, 42462.5, 42.4625
307, -959.5, -0.9595, 33, 0.033, 43713.6, 43.7136
308, -959.42, -0.95942, 33.34, 0.03334, 44168.4, 44.1684
309, -959.46, -0.95946, 33.8, 0.0338, 43696.5, 43.6965
310, -959.26, -0.95926, 31.54, 0.03154, 43250.9, 43.2509
311, -959.78, -0.95978, 30.6, 0.0306, 42796.6, 42.7966
312, -959.74, -0.95974, 30.76, 0.03076, 42830.2, 42.8302
313, -959.78, -0.95978, 29.26, 0.02926, 42278, 42.278
314, -959.18, -0.95918, 28, 0.028, 43086.3, 43.0863
315, -959.66, -0.95966, 28.66, 0.02866, 42602.4, 42.6024
316, -960.22, -0.96022, 30.06, 0.03006, 43014.8, 43.0148
317, -959.78, -0.95978, 31.26, 0.03126, 43031.2, 43.0312
318, -959.62, -0.95962, 30.44, 0.03044, 43285, 43.285
319, -959.54, -0.95954, 30.66, 0.03066, 42947.4, 42.9474
320, -959.42, -0.95942, 32.54, 0.03254, 42599.4, 42.5994
321, -959.18, -0.95918, 31.06, 0.03106, 43015.6, 43.0156
322, -959.38, -0.95938, 30.76, 0.03076, 42760.2, 42.7602
323, -959.54, -0.95954, 30.64, 0.03064, 42213.6, 42.2136
324, -959.62, -0.95962, 30.02, 0.03002, 42495.6, 42.4956
325, -959.82, -0.95982, 29.96, 0.02996, 42150.4, 42.1504
326, -960.26, -0.96026, 29.88, 0.02988, 42543.7, 42.5437
327, -959.86, -0.95986, 32.14, 0.03214, 41902.1, 41.9021
328, -959.62, -0.95962, 31.24, 0.03124, 41590.2, 41.5902
329, -959.7, -0.9597, 30.66, 0.03066, 41891.2, 41.8912
330, -959.94, -0.95994, 32.9, 0.0329, 40927.5, 40.9275
331, -959.98, -0.95998, 32.24, 0.03224, 40376.2, 40.3762
332, -959.62, -0.95962, 31.26, 0.03126, 40445.4, 40.4454
333, -959.82, -0.95982, 30.34, 0.03034, 40339.3, 40.3393
334, -959.78, -0.95978, 32, 0.032, 40632.4, 40.6324
335, -959.86, -0.95986, 32.4, 0.0324, 40811.6, 40.8116
336, -959.82, -0.95982, 32.48, 0.03248, 41261.3, 41.2613
337, -959.86, -0.95986, 34.48, 0.03448, 41656.6, 41.6566
338, -960.22, -0.96022, 35.26, 0.03526, 42879.9, 42.8799
339, -960.06, -0.96006, 33.52, 0.03352, 42319, 42.319
340, -960.26, -0.96026, 34.92, 0.03492, 42289.5, 42.2895
341, -960.58, -0.96058, 35.32, 0.03532, 42363.8, 42.3638
342, -960.42, -0.96042, 35.02, 0.03502, 42699.7, 42.6997
343, -960.22, -0.96022, 34.16, 0.03416, 42762.6, 42.7626
344, -960.26, -0.96026, 34.96, 0.03496, 41933.7, 41.9337
345, -960.06, -0.96006, 33.26, 0.03326, 42152.1, 42.1521
346, -960.46, -0.96046, 33.26, 0.03326, 42802.1, 42.8021
347, -960.1, -0.9601, 31.8, 0.0318, 43577.5, 43.5775
348, -960.38, -0.96038, 30.5, 0.0305, 43114.2, 43.1142
349, -960.1, -0.9601, 28.82, 0.02882, 43133.2, 43.1332
350, -960.18, -0.96018, 29.64, 0.02964, 42816.4, 42.8164
351, -960.5, -0.9605, 28.64, 0.02864, 41763.8, 41.7638
352, -960.58, -0.96058, 28.58, 0.02858, 41331.7, 41.3317
353, -960.38, -0.96038, 27.32, 0.02732, 41595.4, 41.5954
354, -960.38, -0.96038, 26.28, 0.02628, 41668.2, 41.6682
355, -960.14, -0.96014, 26.38, 0.02638, 41994.5, 41.9945
356, -960.26, -0.96026, 27.54, 0.02754, 41268.7, 41.2687
357, -959.94, -0.95994, 27.36, 0.02736, 41838.6, 41.8386
358, -959.9, -0.9599, 26.94, 0.02694, 42580.8, 42.5808
359, -960.14, -0.96014, 30.1, 0.0301, 42718.8, 42.7188
360, -960.54, -0.96054, 31.44, 0.03144, 42070.2, 42.0702
361, -960.74, -0.96074, 30.28, 0.03028, 42830.5, 42.8305
362, -960.9, -0.9609, 31.84, 0.03184, 43091.8, 43.0918
363, -960.62, -0.96062, 31.92, 0.03192, 44153.9, 44.1539
364, -960.7, -0.9607, 33.14, 0.03314, 44742.4, 44.7424
365, -960.9, -0.9609, 33.94, 0.03394, 44823.2, 44.8232
366, -960.86, -0.96086, 31.6, 0.0316, 45317.6, 45.3176
367, -961.38, -0.96138, 31.9, 0.0319, 46087.8, 46.0878
368, -961.34, -0.96134, 33.22, 0.03322, 46384.7, 46.3847
369, -961.34, -0.96134, 33.96, 0.03396, 45514.1, 45.5141
370, -961.22, -0.96122, 33.82, 0.03382, 45467.7, 45.4677
371, -961.14, -0.96114, 35.56, 0.03556, 45854.6, 45.8546
372, -961.34, -0.96134, 33.22, 0.03322, 45535.1, 45.5351
373, -961.18, -0.96118, 33.74, 0.03374, 46068.4, 46.0684
374, -961.26, -0.96126, 32.98, 0.03298, 45638.6, 45.6386
375, -961.18, -0.96118, 34.3, 0.0343, 46424.2, 46.4242
376, -961.14, -0.96114, 32.68, 0.03268, 46665.5, 46.6655
377, -961.14, -0.96114, 33.98, 0.03398, 47032.8, 47.0328
378, -960.62, -0.96062, 33.52, 0.03352, 46357.8, 46.3578
379, -960.78, -0.96078, 33.2, 0.0332, 46400.6, 46.4006
380, -960.94, -0.96094, 31.52, 0.03152, 45934.8, 45.9348
381, -961.26, -0.96126, 31.46, 0.03146, 45727.6, 45.7276
382, -960.98, -0.96098, 32.68, 0.03268, 45015, 45.015
383, -960.94, -0.96094, 31.42, 0.03142, 45311.1, 45.3111
384, -960.9, -0.9609, 30.38, 0.03038, 45399.3, 45.3993
385, -960.98, -0.96098, 29.4, 0.0294, 45698.3, 45.6983
386, -961.18, -0.96118, 29.52, 0.02952, 45361, 45.361
387, -960.74, -0.96074, 28.58, 0.02858, 44937.9, 44.9379
388, -961.22, -0.96122, 26.66, 0.02666, 44042.4, 44.0424
389, -961.02, -0.96102, 26.16, 0.02616, 44389, 44.389
390, -960.9, -0.9609, 26, 0.026, 44008.5, 44.0085
