#t, E mean, E/N mean, M mean, M/N mean, M2 mean, M2/N mean
0, -48.22, -0.4822, 1.56, 0.0156, 328.64, 3.2864
1, -62.1, -0.621, 2.68, 0.0268, 496.48, 4.9648
2, -68.94, -0.6894, 4.28, 0.0428, 523.36, 5.2336
3, -73.62, -0.7362, 4.78, 0.0478, 667.48, 6.6748
4, -77.02, -0.7702, 5.2, 0.052, 715.28, 7.1528
5, -79.5, -0.795, 5.58, 0.0558, 749.48, 7.4948
6, -81.02, -0.8102, 3.84, 0.0384, 814.08, 8.1408
7, -82.54, -0.8254, 3.14, 0.0314, 867.72, 8.6772
8, -83.62, -0.8362, 2.72, 0.0272, 883.92, 8.8392
9, -84.42, -0.8442, 3.88, 0.0388, 962, 9.62
10, -85.5, -0.855, 3.9, 0.039, 1027.8, 10.278
11, -86.26, -0.8626, 4.44, 0.0444, 1069.68, 10.6968
12, -86.94, -0.8694, 3.9, 0.039, 1053.88, 10.5388
13, -87.5, -0.875, 3.26, 0.0326, 1063.64, 10.6364
14, -87.86, -0.8786, 3.66, 0.0366, 1116.2, 11.162
15, -88.02, -0.8802, 4.34, 0.0434, 1080.84, 10.8084
16, -88.54, -0.8854, 3.86, 0.0386, 1076.36, 10.7636
17, -88.82, -0.8882, 3.4, 0.034, 1084.08, 10.8408
18, -89.14, -0.8914, 2.56, 0.0256, 1151.2, 11.512
19, -89.62, -0.8962, 1.48, 0.0148, 1228.08, 12.2808
20, -89.7, -0.897, 2.6, 0.026, 1223.92, 12.2392
21, -89.9, -0.899, 2.5, 0.025, 1190.6, 11.906
22, -89.98, -0.8998, 1.84, 0.0184, 1266.16, 12.6616
23, -90.1, -0.901, 1.14, 0.0114, 1250.68, 12.5068
24, -90.26, -0.9026, 0.8, 0.008, 1316.56, 13.1656
25, -90.38, -0.9038, 0.22, 0.0022, 1359.16, 13.5916
26, -90.54, -0.9054, -0.38, -0.0038, 1363.72, 13.6372
27, -90.74, -0.9074, -1.82, -0.0182, 1351.4, 13.514
28, -91.06, -0.9106, -1.92, -0.0192, 1383.12, 13.8312
29, -91.18, -0.9118, -2.5, -0.025, 1377.4, 13.774
30, -91.38, -0.9138, -2.7, -0.027, 1495, 14.95
31, -91.5, -0.915, -2.72, -0.0272, 1589.84, 15.8984
32, -91.74, -0.9174, -2.34, -0.0234, 1584.52, 15.8452
33, -91.86, -0.9186, -1.58, -0.0158, 1561.64, 15.6164
