#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
0.5, -0.943065, 0.0030881, -241.425, 202.382, -0.943065, 0.0030881, 58505.5, 4.84907e+07, 228.537, 739.909, 7.38693, 3273.13, 0.0288552, 0.049944, 10678.9, 2.66563e+07, 41.7146, 406.743
0.51, -0.96703, 0.00486426, -247.56, 318.784, -0.96703, 0.00486426, 61621.9, 7.6712e+07, 240.711, 1170.53, 41.9161, 4153.29, 0.163735, 0.0633742, 14845.9, 6.2477e+07, 57.9916, 953.324
0.52, -0.974633, 0.00185906, -249.506, 121.835, -0.974633, 0.00185906, 62395.4, 3.01179e+07, 243.732, 459.563, -8.61407, 3287.46, -0.0336487, 0.0501627, 10953.6, 1.7999e+07, 42.7875, 274.644
0.53, -0.979459, 0.00288572, -250.741, 189.119, -0.979459, 0.00288572, 63081.5, 4.73996e+07, 246.412, 723.26, -10.2251, 5098.43, -0.0399419, 0.0777959, 14383.8, 2.07247e+07, 56.1869, 316.234
0.54, -0.917697, 0.00568271, -234.93, 372.422, -0.917697, 0.00568271, 55588.9, 8.81279e+07, 217.144, 1344.72, -27.9227, 2713.66, -0.109073, 0.0414071, 11286.4, 3.07391e+07, 44.0875, 469.042
0.55, -0.931115, 0.00323799, -238.365, 212.205, -0.931115, 0.00323799, 57056.9, 4.80518e+07, 222.878, 733.212, -8.56227, 2387.32, -0.0334464, 0.0364277, 9351.74, 1.95504e+07, 36.5302, 298.315
0.56, -0.946905, 0.00580009, -242.408, 380.114, -0.946905, 0.00580009, 59169.6, 8.45982e+07, 231.131, 1290.87, -18.4607, 1937.4, -0.072112, 0.0295623, 11938.8, 2.41997e+07, 46.6358, 369.258
0.57, -0.957905, 0.00355303, -245.224, 232.851, -0.957905, 0.00355303, 60396.3, 5.80743e+07, 235.923, 886.143, 14.7219, 1414.3, 0.0575073, 0.0215805, 10903.9, 1.13846e+07, 42.5935, 173.715
0.58, -0.907518, 0.0039418, -232.325, 258.33, -0.907518, 0.0039418, 54263, 5.8097e+07, 211.965, 886.49, 16.3351, 1581.46, 0.0638089, 0.0241311, 7120.43, 1.41621e+07, 27.8142, 216.097
0.59, -0.943006, 0.0064191, -241.409, 420.682, -0.943006, 0.0064191, 58731.7, 1.01561e+08, 229.421, 1549.7, -11.6257, 5276.83, -0.0454128, 0.0805181, 11940.7, 1.67615e+07, 46.6435, 255.76
