#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
0.5, -0.969651, 0.0013597, -992.922, 1425.75, -0.969651, 0.0013597, 987387, 5.72038e+09, 964.245, 5455.38, 57.4601, 30395.3, 0.0561134, 0.0289872, 62080.5, 1.32543e+09, 60.6255, 1264.03
0.51, -0.967735, 0.00137962, -990.96, 1446.64, -0.967735, 0.00137962, 983519, 5.73619e+09, 960.468, 5470.46, 17.8405, 32591.1, 0.0174223, 0.0310813, 61913.3, 1.64141e+09, 60.4622, 1565.37
0.52, -0.962187, 0.00192233, -985.28, 2015.71, -0.962187, 0.00192233, 972865, 7.53208e+09, 950.063, 7183.15, -28.4439, 19818.4, -0.0277772, 0.0189003, 45378.1, 2.04185e+08, 44.3145, 194.726
0.53, -0.96513, 0.000329452, -988.294, 345.455, -0.96513, 0.000329452, 977155, 1.35675e+09, 954.253, 1293.9, -24.2851, 8481.27, -0.023716, 0.00808837, 36406.8, 2.8361e+08, 35.5535, 270.472
0.54, -0.95095, 0.00138862, -973.773, 1456.07, -0.95095, 0.00138862, 949781, 5.58367e+09, 927.521, 5325, 34.0672, 10844, 0.0332687, 0.0103417, 42748, 3.45193e+08, 41.7461, 329.202
0.55, -0.963953, 0.00160555, -987.088, 1683.54, -0.963953, 0.00160555, 976125, 6.70515e+09, 953.247, 6394.53, 25.4055, 7716.72, 0.02481, 0.00735924, 37548.7, 2.09788e+08, 36.6686, 200.07
0.56, -0.956444, 0.000806495, -979.398, 845.671, -0.956444, 0.000806495, 960170, 3.30403e+09, 937.666, 3150.97, -49.6955, 10446.7, -0.0485307, 0.00996271, 38944.5, 1.58544e+08, 38.0317, 151.199
0.57, -0.948099, 0.00148736, -970.854, 1559.61, -0.948099, 0.00148736, 944229, 5.6963e+09, 922.098, 5432.41, -8.69573, 12470.2, -0.00849193, 0.0118925, 36521.3, 2.3933e+08, 35.6654, 228.243
0.58, -0.925569, 0.000968736, -947.783, 1015.79, -0.925569, 0.000968736, 899428, 3.723e+09, 878.347, 3550.53, -69.1882, 9532.7, -0.0675666, 0.00909109, 40255.9, 1.02115e+08, 39.3124, 97.3847
0.59, -0.916822, 0.00154854, -938.826, 1623.76, -0.916822, 0.00154854, 883142, 5.5582e+09, 862.444, 5300.71, -12.2958, 7598.62, -0.0120076, 0.00724661, 36306, 1.5023e+08, 35.4551, 143.27
0.6, -0.943984, 0.00139228, -966.64, 1459.91, -0.943984, 0.00139228, 935980, 5.61467e+09, 914.043, 5354.56, 18.6246, 6943.98, 0.0181881, 0.0066223, 31756.7, 1.91931e+08, 31.0124, 183.039
0.61, -0.948447, 0.000454833, -971.209, 476.927, -0.948447, 0.000454833, 943876, 1.7764e+09, 921.754, 1694.11, 20.5871, 4059.56, 0.0201046, 0.0038715, 25879.4, 4.48523e+07, 25.2728, 42.7745
0.62, -0.903111, 0.00106025, -924.786, 1111.76, -0.903111, 0.00106025, 856483, 3.90652e+09, 836.409, 3725.54, 10.035, 9820.79, 0.0097998, 0.00936583, 33007.1, 9.58349e+07, 32.2335, 91.3953
0.63, -0.916984, 0.00162055, -938.992, 1699.27, -0.916984, 0.00162055, 883558, 5.87663e+09, 862.849, 5604.39, 30.7283, 7563.48, 0.0300081, 0.00721309, 28484.4, 1.22011e+08, 27.8168, 116.359
0.64, -0.911319, 0.00139719, -933.191, 1465.06, -0.911319, 0.00139719, 872469, 5.00622e+09, 852.021, 4774.31, 44.5202, 7663.54, 0.0434768, 0.00730852, 28826.8, 5.3124e+07, 28.1512, 50.663
0.65, -0.921292, 0.000977534, -943.403, 1025.02, -0.921292, 0.000977534, 891198, 3.61282e+09, 870.311, 3445.45, 49.1501, 4826.51, 0.0479982, 0.00460292, 28626.1, 8.49055e+07, 27.9552, 80.9722
0.66, -0.93016, 0.00114485, -952.483, 1200.47, -0.93016, 0.00114485, 908602, 4.41587e+09, 887.307, 4211.3, -0.256467, 5542.89, -0.000250456, 0.00528611, 21917, 2.95294e+07, 21.4033, 28.1614
0.67, -0.897251, 0.000851005, -918.785, 892.343, -0.897251, 0.000851005, 845239, 3.01138e+09, 825.428, 2871.88, -4.71713, 2211.36, -0.00460658, 0.00210891, 20294.3, 4.0055e+07, 19.8186, 38.1994
0.68, -0.896656, 0.0013644, -918.175, 1430.67, -0.896656, 0.0013644, 844675, 4.87698e+09, 824.878, 4651.05, -16.6685, 4291.4, -0.0162778, 0.0040926, 22162.9, 3.16051e+07, 21.6435, 30.141
0.69, -0.889781, 0.00301968, -911.135, 3166.37, -0.889781, 0.00301968, 833536, 1.01526e+10, 814, 9682.29, 44.5131, 3943.45, 0.0434698, 0.00376077, 23163.5, 6.63746e+07, 22.6206, 63.2998
0.7, -0.918802, 0.0002218, -940.853, 232.574, -0.918802, 0.0002218, 885633, 8.34882e+08, 864.876, 796.206, 14.1147, 5496.91, 0.0137839, 0.00524227, 22015.3, 3.28293e+07, 21.4994, 31.3085
0.71, -0.894191, 0.00080241, -915.652, 841.387, -0.894191, 0.00080241, 839474, 2.84213e+09, 819.799, 2710.46, -24.7207, 5961.11, -0.0241413, 0.00568496, 24200.4, 4.23849e+07, 23.6332, 40.4214
0.72, -0.879599, 0.00101658, -900.709, 1065.96, -0.879599, 0.00101658, 812569, 3.58215e+09, 793.524, 3416.2, -13.3979, 2695.77, -0.0130839, 0.00257088, 17335.6, 1.73098e+07, 16.9293, 16.5079
0.73, -0.880862, 0.000742159, -902.003, 778.21, -0.880862, 0.000742159, 814618, 2.53643e+09, 795.525, 2418.93, 5.34713, 3913, 0.00522181, 0.00373173, 20224, 1.51843e+07, 19.75, 14.4809
0.74, -0.852032, 0.00120198, -872.481, 1260.36, -0.852032, 0.00120198, 762724, 3.75673e+09, 744.848, 3582.7, 17.7639, 4797.6, 0.0173475, 0.00457535, 17593.4, 2.7821e+07, 17.1811, 26.5322
0.75, -0.868053, 0.00100101, -888.886, 1049.63, -0.868053, 0.00100101, 791410, 3.31204e+09, 772.862, 3158.6, -19.5271, 3716.45, -0.0190695, 0.00354428, 17759.1, 1.6247e+07, 17.3428, 15.4944
0.76, -0.867104, 0.000621718, -887.914, 651.919, -0.867104, 0.000621718, 789300, 2.05221e+09, 770.801, 1957.14, 13.1639, 4487.69, 0.0128553, 0.0042798, 19605.2, 3.04132e+07, 19.1457, 29.0043
0.77, -0.864258, 0.000653079, -885.001, 684.803, -0.864258, 0.000653079, 784179, 2.12287e+09, 765.8, 2024.52, 2.8926, 1920.95, 0.0028248, 0.00183196, 15597.5, 7.08025e+06, 15.2319, 6.75225
0.78, -0.831223, 0.00175838, -851.173, 1843.79, -0.831223, 0.00175838, 726619, 5.34887e+09, 709.589, 5101.08, -18.8159, 3824.09, -0.0183749, 0.00364694, 16608.9, 5.02252e+07, 16.2196, 47.8985
0.79, -0.865676, 0.00196908, -886.452, 2064.73, -0.865676, 0.00196908, 788137, 6.42689e+09, 769.665, 6129.16, -32.9275, 4090.93, -0.0321557, 0.00390141, 18660.9, 5.56099e+07, 18.2235, 53.0338
0.8, -0.863923, 0.00178314, -884.657, 1869.75, -0.863923, 0.00178314, 784775, 5.92204e+09, 766.382, 5647.7, 55.6061, 4854.51, 0.0543029, 0.00462962, 19953.2, 9.363e+07, 19.4856, 89.2925
0.81, -0.852313, 0.00100209, -872.768, 1050.77, -0.852313, 0.00100209, 763077, 3.11897e+09, 745.193, 2974.48, -5.71007, 3538.04, -0.00557624, 0.00337414, 15776.9, 2.50003e+07, 15.4071, 23.8422
0.82, -0.858944, 0.00200882, -879.559, 2106.4, -0.858944, 0.00200882, 776032, 6.65913e+09, 757.843, 6350.65, -16.5797, 2248.62, -0.0161911, 0.00214445, 13835.1, 8.90774e+06, 13.5109, 8.49509
0.83, -0.838797, 0.00201932, -858.928, 2117.41, -0.838797, 0.00201932, 740186, 6.31905e+09, 722.838, 6026.32, 13.658, 1645.66, 0.0133379, 0.00156942, 12447.8, 3.4413e+06, 12.156, 3.28188
0.84, -0.812792, 0.00195725, -832.299, 2052.32, -0.812792, 0.00195725, 695095, 5.43656e+09, 678.803, 5184.71, -2.4448, 5010.53, -0.0023875, 0.00477841, 15847.1, 2.61312e+07, 15.4757, 24.9206
0.85, -0.805721, 0.00141374, -825.058, 1482.42, -0.805721, 0.00141374, 682532, 4.1092e+09, 666.535, 3918.84, 22.7509, 4492.4, 0.0222176, 0.00428429, 14277.7, 2.97375e+07, 13.9431, 28.3599
0.86, -0.826964, 0.00136565, -846.811, 1431.99, -0.826964, 0.00136565, 718860, 3.86545e+09, 702.011, 3686.38, -4.13507, 6639.62, -0.00403815, 0.00633204, 16528.5, 7.64167e+07, 16.1412, 72.8766
0.87, -0.807044, 0.00118951, -826.413, 1247.29, -0.807044, 0.00118951, 684558, 3.32348e+09, 668.513, 3169.52, -7.14393, 3045.18, -0.0069765, 0.00290411, 12934.1, 1.59733e+07, 12.631, 15.2333
0.88, -0.793668, 0.000724501, -812.716, 759.694, -0.793668, 0.000724501, 661613, 1.95474e+09, 646.107, 1864.18, -4.65887, 2901.57, -0.00454967, 0.00276716, 12590.2, 2.79031e+07, 12.2951, 26.6105
0.89, -0.817598, 0.000471316, -837.221, 494.21, -0.817598, 0.000471316, 701785, 1.37646e+09, 685.337, 1312.69, 8.4892, 2267.68, 0.00829023, 0.00216263, 11530.5, 7.91159e+06, 11.2603, 7.54508
0.9, -0.807065, 0.00204467, -826.435, 2143.99, -0.807065, 0.00204467, 685493, 6.03855e+09, 669.427, 5758.81, 23.188, 2769.27, 0.0226445, 0.00264099, 12363.8, 8.34874e+06, 12.074, 7.96198
0.91, -0.781458, 0.00134279, -800.213, 1408.01, -0.781458, 0.00134279, 642111, 3.53529e+09, 627.061, 3371.52, -25.1345, 2144.05, -0.0245454, 0.00204472, 11438.1, 8.59847e+06, 11.17, 8.20014
0.92, -0.808392, 0.00301792, -827.794, 3164.52, -0.808392, 0.00301792, 688791, 8.49949e+09, 672.648, 8105.74, -9.5132, 5361.6, -0.00929023, 0.00511322, 14379.5, 6.84412e+07, 14.0425, 65.2706
0.93, -0.792761, 0.00029461, -811.787, 308.921, -0.792761, 0.00029461, 659685, 8.03966e+08, 644.224, 766.722, 9.70113, 5324.84, 0.00947376, 0.00507817, 13778.9, 8.18412e+07, 13.456, 78.0498
0.94, -0.789174, 0.000621321, -808.114, 651.502, -0.789174, 0.000621321, 654091, 1.72949e+09, 638.761, 1649.37, -23.4049, 3933.78, -0.0228563, 0.00375154, 12710, 1.92141e+07, 12.4122, 18.324
0.95, -0.776879, 0.00105313, -795.524, 1104.29, -0.776879, 0.00105313, 634371, 2.79125e+09, 619.503, 2661.94, 28.3857, 3917.23, 0.0277204, 0.00373576, 12965, 4.55922e+07, 12.6612, 43.4801
0.96, -0.789758, 0.00151108, -808.712, 1584.48, -0.789758, 0.00151108, 656001, 4.16172e+09, 640.626, 3968.92, -10.5118, 6048.62, -0.0102654, 0.00576841, 14101.4, 5.77209e+07, 13.7709, 55.0469
0.97, -0.781871, 0.000507996, -800.636, 532.673, -0.781871, 0.000507996, 641952, 1.37165e+09, 626.906, 1308.1, -13.268, 2951.62, -0.012957, 0.00281489, 11040, 1.30786e+07, 10.7813, 12.4727
0.98, -0.754759, 0.00168694, -772.873, 1768.88, -0.754759, 0.00168694, 599520, 4.42064e+09, 585.469, 4215.85, 8.21193, 5070.74, 0.00801947, 0.00483583, 12934.4, 2.36329e+07, 12.6312, 22.5381
0.99, -0.766213, 0.00163244, -784.602, 1711.74, -0.766213, 0.00163244, 617740, 4.22898e+09, 603.262, 4033.07, 40.008, 3234.52, 0.0390703, 0.00308468, 12334.5, 3.8065e+07, 12.0454, 36.3016
1, -0.741215, 0.00194573, -759.004, 2040.25, -0.741215, 0.00194573, 578552, 4.50353e+09, 564.992, 4294.9, 12.4029, 3538.41, 0.0121122, 0.00337449, 10929.4, 1.29842e+07, 10.6733, 12.3827
1.01, -0.747126, 0.00303566, -765.057, 3183.12, -0.747126, 0.00303566, 588927, 7.40107e+09, 575.124, 7058.21, -25.3495, 5341.1, -0.0247553, 0.00509367, 13612, 5.6412e+07, 13.293, 53.7986
1.02, -0.737231, 0.00127357, -754.925, 1335.44, -0.737231, 0.00127357, 571687, 3.07662e+09, 558.288, 2934.1, -8.06987, 1803.6, -0.00788073, 0.00172005, 9056.13, 4.86105e+06, 8.84388, 4.63586
1.03, -0.756317, 0.00125808, -774.469, 1319.19, -0.756317, 0.00125808, 601577, 3.31376e+09, 587.477, 3160.25, -13.6971, 2877.68, -0.0133761, 0.00274437, 10398, 2.49714e+07, 10.1543, 23.8146
1.04, -0.758159, 0.000958685, -776.355, 1005.25, -0.758159, 0.000958685, 604191, 2.31372e+09, 590.03, 2206.53, 31.0828, 5904.38, 0.0303543, 0.00563086, 13758.9, 8.65903e+07, 13.4364, 82.5789
1.05, -0.765176, 0.00121031, -783.54, 1269.1, -0.765176, 0.00121031, 615666, 3.08827e+09, 601.236, 2945.2, -10.9948, 6691.48, -0.0107371, 0.00638149, 13459.2, 6.70117e+07, 13.1437, 63.9074
1.06, -0.730048, 0.00141374, -747.569, 1482.41, -0.730048, 0.00141374, 560801, 3.28741e+09, 547.657, 3135.12, 2.37393, 2157.98, 0.00231829, 0.00205801, 8923.33, 1.67143e+07, 8.71419, 15.94
1.07, -0.739327, 0.000998514, -757.07, 1047.02, -0.739327, 0.000998514, 574672, 2.48069e+09, 561.203, 2365.77, 23.2755, 2760.53, 0.02273, 0.00263265, 10056.7, 8.39276e+06, 9.82101, 8.00396
1.08, -0.750161, 0.000809074, -768.165, 848.376, -0.750161, 0.000809074, 591406, 2.03246e+09, 577.545, 1938.31, -3.91247, 4632.59, -0.00382077, 0.00441799, 11174.3, 3.1793e+07, 10.9124, 30.3201
1.09, -0.751022, 0.00169565, -769.046, 1778.02, -0.751022, 0.00169565, 593705, 4.39433e+09, 579.79, 4190.76, -47.2876, 7073.61, -0.0461793, 0.00674592, 15934.2, 2.86303e+08, 15.5607, 273.04
1.1, -0.716596, 0.00135368, -733.795, 1419.44, -0.716596, 0.00135368, 540355, 3.05455e+09, 527.69, 2913.04, 42.1289, 4800, 0.0411415, 0.00457764, 12572.9, 5.3324e+07, 12.2783, 50.8537
1.11, -0.709295, 0.00137294, -726.318, 1439.64, -0.709295, 0.00137294, 529468, 3.0162e+09, 517.059, 2876.48, 31.9095, 3399.19, 0.0311617, 0.00324172, 10651.1, 1.88052e+07, 10.4015, 17.9341
1.12, -0.693333, 0.00104962, -709.973, 1100.6, -0.693333, 0.00104962, 505668, 2.21287e+09, 493.816, 2110.36, -0.477, 6623.89, -0.00046582, 0.00631704, 12527.4, 5.67883e+07, 12.2338, 54.1575
1.13, -0.714229, 0.00185133, -731.371, 1941.26, -0.714229, 0.00185133, 537358, 4.19512e+09, 524.764, 4000.78, -2.42187, 3932.09, -0.0023651, 0.00374993, 9725.92, 1.61971e+07, 9.49797, 15.4467
1.14, -0.720604, 0.000475683, -737.898, 498.79, -0.720604, 0.000475683, 545502, 1.10832e+09, 532.717, 1056.98, 49.2385, 1195.13, 0.0480845, 0.00113976, 9409.19, 1.1277e+07, 9.18866, 10.7545
1.15, -0.711133, 0.000860926, -728.201, 902.747, -0.711133, 0.000860926, 531702, 1.88248e+09, 519.24, 1795.28, 39.795, 7176.5, 0.0388623, 0.00684405, 14442.6, 1.2461e+08, 14.1041, 118.837
1.16, -0.673917, 0.00326568, -690.091, 3424.31, -0.673917, 0.00326568, 480175, 6.73053e+09, 468.921, 6418.73, -1.64253, 2209.64, -0.00160404, 0.00210728, 8176.5, 5.82636e+06, 7.98486, 5.55645
1.17, -0.711519, 0.0017365, -728.595, 1820.86, -0.711519, 0.0017365, 533200, 4.1449e+09, 520.703, 3952.89, -13.1983, 8714.07, -0.012889, 0.00831039, 14379.6, 1.02082e+08, 14.0426, 97.3531
1.18, -0.674313, 0.00149954, -690.497, 1572.38, -0.674313, 0.00149954, 478893, 2.88157e+09, 467.669, 2748.08, 23.7402, 8831.56, 0.0231838, 0.00842243, 14895.2, 5.21778e+07, 14.5461, 49.7607
1.19, -0.682, 0.00134147, -698.368, 1406.64, -0.682, 0.00134147, 489666, 2.82632e+09, 478.189, 2695.38, -26.9923, 3664.17, -0.0263597, 0.00349443, 10037.4, 1.45919e+07, 9.80211, 13.9159
1.2, -0.695323, 0.000897409, -712.01, 941.002, -0.695323, 0.000897409, 508450, 1.92565e+09, 496.533, 1836.44, -13.4008, 1983.12, -0.0130867, 0.00189126, 7601.42, 3.04516e+06, 7.42326, 2.90409
1.21, -0.70593, 0.00167173, -722.872, 1752.93, -0.70593, 0.00167173, 524841, 3.60508e+09, 512.54, 3438.07, 5.5382, 4850.86, 0.0054084, 0.00462614, 10234, 2.89634e+07, 9.99411, 27.6217
1.22, -0.67511, 0.000611819, -691.313, 641.538, -0.67511, 0.000611819, 479108, 1.19237e+09, 467.879, 1137.13, 1.41593, 1350.39, 0.00138275, 0.00128783, 6710.34, 1.06193e+06, 6.55306, 1.01274
1.23, -0.677595, 0.00175412, -693.857, 1839.33, -0.677595, 0.00175412, 483838, 3.46087e+09, 472.498, 3300.54, 26.7209, 3429.27, 0.0260946, 0.00327041, 9211.78, 1.07151e+07, 8.99588, 10.2187
1.24, -0.679807, 0.00122156, -696.122, 1280.89, -0.679807, 0.00122156, 486428, 2.65562e+09, 475.027, 2532.59, 8.8576, 6815.48, 0.00865, 0.00649974, 11958.6, 1.63438e+08, 11.6783, 155.866
1.25, -0.668247, 0.00260792, -684.285, 2734.6, -0.668247, 0.00260792, 471552, 5.17516e+09, 460.5, 4935.42, 15.5593, 3173.97, 0.0151946, 0.00302694, 8557.88, 5.60461e+06, 8.3573, 5.34497
1.26, -0.655184, 0.0013593, -670.908, 1425.33, -0.655184, 0.0013593, 452119, 2.58767e+09, 441.522, 2467.8, 8.02187, 4347.84, 0.00783385, 0.00414642, 9360.46, 8.86744e+06, 9.14107, 8.45665
1.27, -0.670456, 0.000561109, -686.547, 588.366, -0.670456, 0.000561109, 472525, 1.1187e+09, 461.45, 1066.87, -11.1572, 4651.18, -0.0108957, 0.00443571, 9578.56, 1.37088e+07, 9.35406, 13.0738
1.28, -0.648666, 0.000958356, -664.234, 1004.91, -0.648666, 0.000958356, 442792, 1.79609e+09, 432.414, 1712.88, 28.6387, 6383.45, 0.0279674, 0.00608773, 12156.4, 8.46692e+07, 11.8715, 80.7468
1.29, -0.630664, 0.00119945, -645.8, 1257.71, -0.630664, 0.00119945, 418900, 2.09106e+09, 409.082, 1994.19, 12.738, 3118.84, 0.0124395, 0.00297435, 8046.42, 1.71841e+07, 7.85783, 16.388
1.3, -0.664155, 0.000497229, -680.095, 521.382, -0.664155, 0.000497229, 463643, 9.65665e+08, 452.776, 920.93, 0.2528, 3708.95, 0.000246875, 0.00353713, 8497.99, 3.44001e+07, 8.29882, 32.8065
1.31, -0.639508, 0.00104353, -654.857, 1094.22, -0.639508, 0.00104353, 430529, 1.88376e+09, 420.439, 1796.49, 17.0189, 3774.49, 0.01662, 0.00359963, 8594.1, 2.89004e+07, 8.39268, 27.5615
1.32, -0.640551, 0.000885909, -655.925, 928.943, -0.640551, 0.000885909, 431777, 1.58169e+09, 421.657, 1508.42, 31.2303, 4588.58, 0.0304983, 0.00437601, 10111.3, 5.16627e+07, 9.87431, 49.2694
1.33, -0.622527, 0.00218095, -637.467, 2286.89, -0.622527, 0.00218095, 409266, 3.63752e+09, 399.674, 3469.01, -11.0489, 3103.25, -0.0107899, 0.00295949, 7801.17, 1.17439e+07, 7.61833, 11.1998
1.34, -0.606642, 0.00159346, -621.201, 1670.87, -0.606642, 0.00159346, 388186, 2.50828e+09, 379.088, 2392.08, 54.053, 5243.57, 0.0527861, 0.00500066, 12699.5, 1.93369e+08, 12.4019, 184.411
