#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
0.5, -0.95513, 0.00370745, -489.026, 971.886, -0.95513, 0.00370745, 240148, 8.60129e+08, 469.04, 3281.13, -1.16793, 9932.52, -0.00228112, 0.0378895, 23804.5, 2.02236e+08, 46.4932, 771.469
0.51, -0.990075, 0.0012057, -506.918, 316.068, -0.990075, 0.0012057, 257320, 3.12504e+08, 502.578, 1192.11, -36.5899, 4492.29, -0.0714646, 0.0171367, 24583.5, 4.49618e+07, 48.0147, 171.516
0.52, -0.942917, 0.00127936, -482.774, 335.377, -0.942917, 0.00127936, 233444, 3.01341e+08, 455.946, 1149.53, 44.8794, 7273.81, 0.0876551, 0.0277474, 30658.1, 2.93558e+08, 59.8791, 1119.83
0.53, -0.990335, 0.00177979, -507.052, 466.562, -0.990335, 0.00177979, 257610, 4.83775e+08, 503.145, 1845.45, -43.8733, 10595.6, -0.0856901, 0.040419, 29858, 3.7472e+08, 58.3164, 1429.44
0.54, -0.947603, 0.00403069, -485.173, 1056.62, -0.947603, 0.00403069, 236498, 1.02657e+09, 461.91, 3916.05, 18.4633, 13156.1, 0.0360611, 0.0501864, 28228, 5.05101e+08, 55.1329, 1926.81
0.55, -0.923813, 0.00429928, -472.992, 1127.03, -0.923813, 0.00429928, 224899, 1.03336e+09, 439.256, 3941.96, 9.82047, 4047.25, 0.0191806, 0.015439, 20321.5, 5.75783e+07, 39.6904, 219.644
0.56, -0.932102, 0.00405931, -477.236, 1064.12, -0.932102, 0.00405931, 228872, 9.74527e+08, 447.016, 3717.53, -8.88867, 5952.28, -0.0173607, 0.0227062, 16414.5, 3.91717e+07, 32.0595, 149.428
0.57, -0.915671, 0.00408666, -468.823, 1071.29, -0.915671, 0.00408666, 220924, 9.58936e+08, 431.493, 3658.05, -2.6316, 2656.19, -0.00513984, 0.0101326, 14740.5, 1.12603e+07, 28.79, 42.9545
0.58, -0.936033, 0.00197643, -479.249, 518.108, -0.936033, 0.00197643, 230259, 4.64593e+08, 449.725, 1772.28, -23.6714, 1359.94, -0.0462332, 0.00518778, 14087.3, 6.9648e+07, 27.5143, 265.686
0.59, -0.937749, 0.00100498, -480.127, 263.448, -0.937749, 0.00100498, 230851, 2.45258e+08, 450.881, 935.586, 16.4724, 1222.39, 0.0321727, 0.00466306, 12483, 1.3455e+07, 24.3809, 51.3268
0.6, -0.914462, 0.00159647, -468.204, 418.506, -0.914462, 0.00159647, 219696, 3.71448e+08, 429.094, 1416.96, 38.0577, 3702.41, 0.0743314, 0.0141236, 18213.4, 3.06768e+07, 35.573, 117.023
0.61, -0.912174, 0.000835575, -467.033, 219.041, -0.912174, 0.000835575, 218410, 1.81918e+08, 426.582, 693.963, -2.91293, 2156.04, -0.00568932, 0.00822464, 13583.2, 2.33213e+07, 26.5298, 88.9635
0.62, -0.900614, 0.00129717, -461.115, 340.044, -0.900614, 0.00129717, 213037, 2.97172e+08, 416.087, 1133.62, -3.69853, 4365.9, -0.0072237, 0.0166546, 14209.8, 3.69913e+07, 27.7535, 141.111
0.63, -0.911203, 0.00172975, -466.536, 453.445, -0.911203, 0.00172975, 218186, 3.96269e+08, 426.144, 1511.65, 3.95553, 3817.46, 0.00772565, 0.0145624, 14752.7, 1.60093e+07, 28.8139, 61.0705
0.64, -0.916331, 0.000779982, -469.161, 204.468, -0.916331, 0.000779982, 220396, 1.76429e+08, 430.461, 673.025, 7.87793, 2135.86, 0.0153866, 0.00814765, 14011.7, 8.18347e+06, 27.3667, 31.2175
0.65, -0.904945, 0.0020013, -463.332, 524.629, -0.904945, 0.0020013, 215281, 4.56016e+08, 420.471, 1739.56, -6.99747, 850.774, -0.0136669, 0.00324544, 10513.5, 3.06029e+06, 20.5342, 11.6741
0.66, -0.93847, 0.00237433, -480.497, 622.417, -0.93847, 0.00237433, 231588, 5.97113e+08, 452.32, 2277.8, 4.706, 3733.56, 0.00919141, 0.0142424, 13210.9, 2.53169e+07, 25.8026, 96.5762
0.67, -0.885057, 0.00206662, -453.149, 541.752, -0.885057, 0.00206662, 205977, 4.44638e+08, 402.299, 1696.16, 25.1269, 1405.69, 0.0490759, 0.00536229, 10245.4, 1.34833e+07, 20.0106, 51.4346
0.68, -0.933048, 0.0020303, -477.721, 532.231, -0.933048, 0.0020303, 228846, 4.67768e+08, 446.965, 1784.39, 2.36907, 3371.39, 0.00462708, 0.0128608, 12987, 2.48913e+07, 25.3653, 94.9526
0.69, -0.902485, 0.00517866, -462.073, 1357.55, -0.902485, 0.00517866, 214970, 1.27903e+09, 419.862, 4879.11, -15.2299, 1385.54, -0.0297458, 0.0052854, 10642.8, 4.9515e+06, 20.7868, 18.8885
0.7, -0.914627, 0.00290097, -468.289, 760.471, -0.914627, 0.00290097, 220160, 7.12652e+08, 430, 2718.55, -7.9372, 606.393, -0.0155023, 0.00231321, 9725.21, 2.9722e+06, 18.9945, 11.3381
0.71, -0.894549, 0.00118275, -458.009, 310.05, -0.894549, 0.00118275, 210191, 2.6401e+08, 410.53, 1007.12, -2.1904, 3558.92, -0.00427813, 0.0135762, 10962.2, 3.14353e+07, 21.4106, 119.916
0.72, -0.888517, 0.00381457, -454.921, 999.966, -0.888517, 0.00381457, 208067, 8.17934e+08, 406.381, 3120.17, 6.81367, 7286.09, 0.0133079, 0.0277942, 14811.4, 6.22348e+07, 28.9284, 237.407
0.73, -0.913892, 0.00457629, -467.913, 1199.65, -0.913892, 0.00457629, 220258, 1.04567e+09, 430.191, 3988.9, 9.9598, 3548.53, 0.0194527, 0.0135366, 10847.7, 1.57042e+07, 21.1869, 59.9068
0.74, -0.876212, 0.00244639, -448.62, 641.306, -0.876212, 0.00244639, 202021, 5.15925e+08, 394.573, 1968.1, 10.237, 1868.68, 0.0199941, 0.00712844, 9749.86, 1.03052e+07, 19.0427, 39.3114
0.75, -0.876059, 0.00511833, -448.542, 1341.74, -0.876059, 0.00511833, 202649, 1.03289e+09, 395.799, 3940.17, 18.7858, 1784.35, 0.036691, 0.00680676, 9661.55, 8.67581e+06, 18.8702, 33.0956
0.76, -0.857599, 0.00215729, -439.091, 565.522, -0.857599, 0.00215729, 193496, 4.48571e+08, 377.923, 1711.16, 1.23453, 1870.97, 0.0024112, 0.00713718, 8156.92, 6.68853e+06, 15.9315, 25.5147
0.77, -0.859865, 0.00232661, -440.251, 609.906, -0.859865, 0.00232661, 194563, 4.78892e+08, 380.006, 1826.83, 33.5327, 2341.59, 0.0654935, 0.00893244, 10626.2, 1.39115e+07, 20.7544, 53.0682
0.78, -0.877682, 0.00330211, -449.373, 865.628, -0.877682, 0.00330211, 202938, 7.11925e+08, 396.362, 2715.78, -2.01813, 1973.66, -0.00394167, 0.00752893, 8398.5, 9.78905e+06, 16.4033, 37.3423
0.79, -0.896611, 0.00675216, -459.065, 1770.04, -0.896611, 0.00675216, 212647, 1.48148e+09, 415.326, 5651.38, 2.7656, 3083.43, 0.00540156, 0.0117624, 9680.47, 1.07456e+07, 18.9072, 40.9913
0.8, -0.85903, 0.00567489, -439.823, 1487.64, -0.85903, 0.00567489, 195081, 1.21013e+09, 381.018, 4616.28, 11.9513, 3070.07, 0.0233424, 0.0117114, 9356.24, 8.18918e+06, 18.2739, 31.2393
0.81, -0.836912, 0.00353003, -428.499, 925.375, -0.836912, 0.00353003, 184683, 6.79247e+08, 360.708, 2591.12, 26.9221, 723.868, 0.0525822, 0.00276134, 7501.76, 1.49601e+06, 14.6519, 5.70684
0.82, -0.855461, 0.00171321, -437.996, 449.107, -0.855461, 0.00171321, 192439, 3.5917e+08, 375.857, 1370.12, -8.23887, 1593.49, -0.0160915, 0.00607867, 7341.6, 6.24311e+06, 14.3391, 23.8156
0.83, -0.813545, 0.000710111, -416.535, 186.151, -0.813545, 0.000710111, 173841, 1.30949e+08, 339.533, 499.533, 12.4268, 2572.79, 0.0242711, 0.0098144, 8033.29, 8.97539e+06, 15.69, 34.2384
0.84, -0.857239, 0.00162974, -438.906, 427.227, -0.857239, 0.00162974, 193218, 3.1905e+08, 377.38, 1217.08, 6.1538, 2681.55, 0.0120191, 0.0102293, 7529.93, 3.23867e+07, 14.7069, 123.546
0.85, -0.812246, 0.00341074, -415.87, 894.105, -0.812246, 0.00341074, 174003, 6.23016e+08, 339.85, 2376.62, 22.9111, 3138.54, 0.0447483, 0.0119726, 9205.21, 2.2312e+07, 17.9789, 85.1137
0.86, -0.829493, 0.00269979, -424.701, 707.734, -0.829493, 0.00269979, 181243, 5.35087e+08, 353.99, 2041.2, -23.1866, 2993.92, -0.0452863, 0.0114209, 8250.05, 1.0506e+07, 16.1134, 40.0774
0.87, -0.830067, 0.00451134, -424.995, 1182.62, -0.830067, 0.00451134, 181976, 7.96873e+08, 355.421, 3039.83, -4.38547, 2293.64, -0.00856536, 0.00874956, 7608.23, 8.89615e+06, 14.8598, 33.9361
