#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
2, -1.76981, 0.0073767, -453.071, 483.439, -1.76981, 0.0073767, 206499, 3.90067e+08, 806.639, 5951.95, -0.199467, 54266.8, -0.000779167, 0.828046, 54475.8, 185845, 212.796, 2.83577
2.02, -1.76348, 0.00463707, -451.452, 303.895, -1.76348, 0.00463707, 204900, 2.51684e+08, 800.391, 3840.39, -139.082, 34265.8, -0.543288, 0.522855, 53842, 208713, 210.32, 3.1847
2.04, -1.69781, 0.0058594, -434.64, 384.001, -1.69781, 0.0058594, 190127, 2.86525e+08, 742.682, 4372.02, 91.1525, 44521.5, 0.356065, 0.679344, 53069.7, 378191, 207.303, 5.77073
2.06, -1.6793, 0.00753258, -429.901, 493.655, -1.6793, 0.00753258, 186275, 3.76227e+08, 727.635, 5740.77, -45.4133, 49251.3, -0.177396, 0.751516, 51814.5, 602843, 202.4, 9.19865
2.08, -1.64736, 0.00420675, -421.724, 275.694, -1.64736, 0.00420675, 179107, 1.85897e+08, 699.636, 2836.57, -0.235667, 50742.6, -0.000920573, 0.77427, 51083.6, 247374, 199.545, 3.77463
2.1, -1.61259, 0.00792531, -412.822, 519.393, -1.61259, 0.00792531, 171979, 3.28847e+08, 671.793, 5017.8, -133.357, 32033, -0.520925, 0.488786, 50254.7, 465390, 196.307, 7.10129
2.12, -1.62457, 0.0123179, -415.89, 807.263, -1.62457, 0.0123179, 174927, 5.42307e+08, 683.308, 8274.95, -85.7703, 40769.4, -0.33504, 0.622092, 48711.4, 1.49493e+06, 190.279, 22.8109
2.14, -1.6407, 0.00726637, -420.02, 476.209, -1.6407, 0.00726637, 178141, 3.40537e+08, 695.863, 5196.19, -85.8995, 39299.1, -0.335545, 0.599657, 47337.8, 1.08382e+06, 184.913, 16.5377
2.16, -1.6474, 0.00521331, -421.735, 341.66, -1.6474, 0.00521331, 179584, 2.43215e+08, 701.498, 3711.16, -4.26693, 34048.1, -0.0166677, 0.519533, 45699, 1.42464e+06, 178.512, 21.7383
2.18, -1.55241, 0.0111379, -397.418, 729.935, -1.55241, 0.0111379, 160019, 4.53743e+08, 625.073, 6923.57, -127.162, 28467.8, -0.496726, 0.434385, 45345.2, 998585, 177.13, 15.2372
2.2, -1.54207, 0.0117039, -394.77, 767.029, -1.54207, 0.0117039, 158234, 4.59803e+08, 618.102, 7016.04, 67.7253, 29035.6, 0.264552, 0.443047, 42736.5, 2.12748e+06, 166.939, 32.4628
2.22, -1.51785, 0.0150001, -388.57, 983.045, -1.51785, 0.0150001, 153724, 5.87963e+08, 600.485, 8971.6, -27.6185, 25001.8, -0.107885, 0.381497, 40559.9, 3.91009e+06, 158.437, 59.6633
2.24, -1.45824, 0.0112517, -373.309, 737.393, -1.45824, 0.0112517, 141878, 3.91455e+08, 554.213, 5973.13, 7.0564, 26945.7, 0.0275641, 0.411159, 38946.6, 2.57434e+06, 152.135, 39.2813
2.26, -1.48551, 0.0056964, -380.29, 373.32, -1.48551, 0.0056964, 146851, 2.25904e+08, 573.637, 3447.02, -3.32713, 16610.4, -0.0129966, 0.253455, 37524.5, 2.26613e+06, 146.58, 34.5783
2.28, -1.47967, 0.00914974, -378.795, 599.638, -1.47967, 0.00914974, 146072, 3.50233e+08, 570.595, 5344.13, -12.2844, 14222.2, -0.0479859, 0.217013, 34898.3, 5.47378e+06, 136.322, 83.5233
2.3, -1.42738, 0.0176567, -365.408, 1157.15, -1.42738, 0.0176567, 136682, 6.18141e+08, 533.916, 9432.09, -35.7195, 11388.2, -0.139529, 0.173771, 32604, 3.84177e+06, 127.359, 58.6207
2.32, -1.38468, 0.00854794, -354.478, 560.198, -1.38468, 0.00854794, 128313, 2.74669e+08, 501.222, 4191.12, 16.9527, 6327.34, 0.0662216, 0.0965475, 29486.1, 5.68411e+06, 115.18, 86.7326
2.34, -1.30093, 0.00997421, -333.039, 653.67, -1.30093, 0.00997421, 113793, 2.94923e+08, 444.506, 4500.17, 10.9915, 2688.13, 0.0429357, 0.0410177, 26093.7, 4.05165e+06, 101.929, 61.8232
2.36, -1.3123, 0.00816432, -335.949, 535.057, -1.3123, 0.00816432, 115533, 2.38441e+08, 451.302, 3638.32, 12.6867, 3224.85, 0.0495573, 0.0492073, 25009.2, 4.96249e+06, 97.6921, 75.7215
2.38, -1.30017, 0.0145335, -332.843, 952.468, -1.30017, 0.0145335, 113769, 4.47049e+08, 444.411, 6821.43, -33.6811, 4358.09, -0.131567, 0.0664992, 23852.7, 4.97808e+06, 93.1746, 75.9595
2.4, -1.23848, 0.013451, -317.05, 881.528, -1.23848, 0.013451, 103435, 3.7253e+08, 404.042, 5684.35, -32.4479, 1532.07, -0.12675, 0.0233775, 22127.1, 3.8341e+06, 86.4338, 58.5038
2.42, -1.22676, 0.0150161, -314.051, 984.095, -1.22676, 0.0150161, 101642, 3.12219e+08, 397.039, 4764.08, 7.20987, 2323.51, 0.0281635, 0.035454, 18307.8, 1.82608e+06, 71.515, 27.8637
2.44, -1.18468, 0.0105898, -303.278, 694.015, -1.18468, 0.0105898, 94587.9, 2.74551e+08, 369.484, 4189.32, -12.0832, 1287.47, -0.0472, 0.0196452, 18042.4, 2.07319e+06, 70.4782, 31.6344
2.46, -1.18173, 0.0159946, -302.523, 1048.23, -1.18173, 0.0159946, 94311.5, 4.33059e+08, 368.404, 6607.95, 10.9477, 559.829, 0.0427643, 0.00854231, 15049.5, 4.77788e+06, 58.7872, 72.9047
2.48, -1.18053, 0.00692443, -302.215, 453.799, -1.18053, 0.00692443, 93525.5, 1.63183e+08, 365.334, 2489.98, -5.84527, 561.392, -0.0228331, 0.00856617, 14326, 2.36479e+06, 55.961, 36.0839
