#temp, E/N mean, E/N var, E mean, E var, E/N mean, E/N var, E2 mean, E2 var, E2/N mean, E2/N var, M mean, M var, M/N mean, M/N var, M2 mean, M2 var, M2/N mean, M2/N var
2, -1.95697, 0.0360675, -125.246, 147.732, -1.95697, 0.0360675, 16013.1, 8.73378e+06, 250.204, 2132.27, -5.95507, 2880.67, -0.0930479, 0.70329, 3454.92, 2302.77, 53.9831, 0.5622
2.02, -1.70191, 0.034375, -108.922, 140.8, -1.70191, 0.034375, 12200, 6.35982e+06, 190.625, 1552.69, -15.8148, 2797.62, -0.247106, 0.683014, 3400.66, 853.023, 53.1354, 0.208258
2.04, -1.70542, 0.0205521, -109.147, 84.1815, -1.70542, 0.0205521, 12206.8, 4.24044e+06, 190.731, 1035.26, -5.63987, 2251.59, -0.0881229, 0.549705, 3353.07, 2733.14, 52.3917, 0.667271
2.06, -1.56116, 0.126616, -99.9145, 518.62, -1.56116, 0.126616, 10730.1, 1.52271e+07, 167.658, 3717.56, 6.51927, 1631.51, 0.101864, 0.398318, 3287.69, 1719.14, 51.3702, 0.419711
2.08, -1.73726, 0.0336792, -111.185, 137.95, -1.73726, 0.0336792, 12737.2, 6.7879e+06, 199.019, 1657.2, -3.2404, 1543.8, -0.0506312, 0.376903, 3262.63, 2279.89, 50.9786, 0.556614
2.1, -1.69034, 0.035567, -108.181, 145.682, -1.69034, 0.035567, 12108.5, 6.86174e+06, 189.195, 1675.23, -16.7602, 1317.85, -0.261878, 0.321742, 3191.1, 2787.47, 49.861, 0.680535
2.12, -1.69542, 0.0133622, -108.507, 54.7315, -1.69542, 0.0133622, 12099.3, 2.52022e+06, 189.052, 615.288, 1.62633, 1504.79, 0.0254115, 0.36738, 3140.6, 2498.02, 49.0719, 0.609868
2.14, -1.55536, 0.0309093, -99.5429, 126.604, -1.55536, 0.0309093, 10320.4, 4.88946e+06, 161.257, 1193.72, 11.697, 498.125, 0.182766, 0.121613, 3074.29, 1849.93, 48.0358, 0.451644
2.16, -1.59177, 0.0380483, -101.873, 155.846, -1.59177, 0.0380483, 10830.4, 6.12597e+06, 169.225, 1495.6, 0.973267, 826.377, 0.0152073, 0.201752, 3044.77, 4484.78, 47.5746, 1.09492
2.18, -1.59985, 0.0322042, -102.39, 131.909, -1.59985, 0.0322042, 10926.1, 5.44159e+06, 170.721, 1328.51, 8.37873, 932.086, 0.130918, 0.22756, 2982.78, 6209.69, 46.606, 1.51604
2.2, -1.56541, 0.00408838, -100.186, 16.746, -1.56541, 0.00408838, 10369.3, 663845, 162.021, 162.072, -1.8798, 350.437, -0.0293719, 0.0855559, 2926.73, 8354.15, 45.7302, 2.03959
2.22, -1.6228, 0.0409709, -103.859, 167.817, -1.6228, 0.0409709, 11308.5, 7.95416e+06, 176.696, 1941.93, -3.6364, 518.653, -0.0568187, 0.126624, 2802.34, 4343.16, 43.7866, 1.06034
2.24, -1.47964, 0.042404, -94.6969, 173.687, -1.47964, 0.042404, 9498.19, 5.91611e+06, 148.409, 1444.36, -8.83993, 490.459, -0.138124, 0.119741, 2758.58, 3623.92, 43.1029, 0.884747
2.26, -1.51313, 0.0321688, -96.84, 131.763, -1.51313, 0.0321688, 9873.57, 4.82934e+06, 154.274, 1179.04, 6.62667, 569.826, 0.103542, 0.139118, 2690.38, 10127.9, 42.0372, 2.47262
2.28, -1.62099, 0.0704064, -103.743, 288.385, -1.62099, 0.0704064, 11425.5, 1.16258e+07, 178.524, 2838.34, -2.52073, 322.898, -0.0393865, 0.0788325, 2637.46, 7668.67, 41.2104, 1.87223
